session_id,product_url,marketplace
['Z4YV5X9F'],['https://www.amazon.in/Cello-Non-Stick-Cavity-Appam-Stainless/dp/B08DRBCPBM/ref=cm_cr_arp_d_product_top?ie=UTF8'],['amazon.in']
['NM7DTRL9'],['https://www.amazon.in/Cello-Non-Stick-Cavity-Appam-Stainless/dp/B08DRBCPBM/ref=cm_cr_arp_d_product_top?ie=UTF8'],['amazon.in']
['U0OIR5PY'],['https://www.amazon.in/Cello-Non-Stick-Cavity-Appam-Stainless/dp/B08DRBCPBM/ref=cm_cr_arp_d_product_top?ie=UTF8'],['amazon.in']
['KFQ0SJ9O'],['https://www.amazon.in/Cello-Non-Stick-Cavity-Appam-Stainless/dp/B08DRBCPBM/ref=cm_cr_arp_d_product_top?ie=UTF8'],['amazon.in']
['JO1FTNZB'],['https://www.amazon.in/Cello-Non-Stick-Cavity-Appam-Stainless/dp/B08DRBCPBM/ref=cm_cr_arp_d_product_top?ie=UTF8'],['amazon.in']
['JAZQT263'],['https://www.amazon.in/Brayden-Portable-Blender-Rechargeable-Transparent/dp/B07NS898HJ/ref=cm_cr_arp_d_product_top?ie=UTF8'],['amazon.in']
['869790VS'],['https://www.amazon.in/MSI-Leopard-i7-9750H-Windows-9SCXK-076IN/dp/B08GXWVW4K/ref=pd_sbs_5?pd_rd_w=EGJrN&pf_rd_p=758bfbc8-a8f2-4456-bf65-ae5d502eac06&pf_rd_r=2CNCNXGMHC6VTXVYBH54&pd_rd_r=e3c29c86-804f-48b8-8ac8-e2c6a612efc2&pd_rd_wg=CdQ03&pd_rd_i=B08GXWVW4K&psc=1'],['amazon.in']
['DFEGTFNF'],['https://www.amazon.in/MSI-Leopard-i7-9750H-Windows-9SCXK-076IN/dp/B08GXWVW4K/ref=pd_sbs_5?pd_rd_w=EGJrN&pf_rd_p=758bfbc8-a8f2-4456-bf65-ae5d502eac06&pf_rd_r=2CNCNXGMHC6VTXVYBH54&pd_rd_r=e3c29c86-804f-48b8-8ac8-e2c6a612efc2&pd_rd_wg=CdQ03&pd_rd_i=B08GXWVW4K&psc=1'],['amazon.in']
['DQTYC3AN'],['https://www.amazon.in/MSI-Leopard-i7-9750H-Windows-9SCXK-076IN/dp/B08GXWVW4K/ref=pd_sbs_5?pd_rd_w=EGJrN&pf_rd_p=758bfbc8-a8f2-4456-bf65-ae5d502eac06&pf_rd_r=2CNCNXGMHC6VTXVYBH54&pd_rd_r=e3c29c86-804f-48b8-8ac8-e2c6a612efc2&pd_rd_wg=CdQ03&pd_rd_i=B08GXWVW4K&psc=1'],['amazon.in']
['GOC2G6M0'],['https://www.amazon.in/MSI-Leopard-i7-9750H-Windows-9SCXK-076IN/dp/B08GXWVW4K/ref=pd_sbs_5?pd_rd_w=EGJrN&pf_rd_p=758bfbc8-a8f2-4456-bf65-ae5d502eac06&pf_rd_r=2CNCNXGMHC6VTXVYBH54&pd_rd_r=e3c29c86-804f-48b8-8ac8-e2c6a612efc2&pd_rd_wg=CdQ03&pd_rd_i=B08GXWVW4K&psc=1'],['amazon.in']
['RXDRBBHO'],['https://www.amazon.in/dp/B07JWV47JW'],['amazon.in']
['350PDZAC'],['https://www.amazon.in/dp/B082FTPRSK/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B082FTPRSK&pd_rd_w=EpUhj&pf_rd_p=1801b34c-8af9-42b5-8961-11f124edc99b&pd_rd_wg=h6FHv&pf_rd_r=A4PX7F49TFP3X5PDJ79R&pd_rd_r=815e2cc3-74ae-4c55-9233-6d0da8a45946&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWk1MWkhRR0E3SzZDJmVuY3J5cHRlZElkPUEwNjY1ODEzM0lKQUtLRjhZTExUNSZlbmNyeXB0ZWRBZElkPUExMDMyNjI1MTFXSk03MlkxTjM2TiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU='],['amazon.in']
['DO7CPLUS'],['https://www.amazon.in/dp/B082FTPRSK/ref=sspa_dk_detail_3?psc=1&pd_rd_i=B082FTPRSK&pd_rd_w=EpUhj&pf_rd_p=1801b34c-8af9-42b5-8961-11f124edc99b&pd_rd_wg=h6FHv&pf_rd_r=A4PX7F49TFP3X5PDJ79R&pd_rd_r=815e2cc3-74ae-4c55-9233-6d0da8a45946&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyWk1MWkhRR0E3SzZDJmVuY3J5cHRlZElkPUEwNjY1ODEzM0lKQUtLRjhZTExUNSZlbmNyeXB0ZWRBZElkPUExMDMyNjI1MTFXSk03MlkxTjM2TiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU='],['amazon.in']
['7PUTY0GT'],['https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-only-gold/product-reviews/itmfetm4kjzaj6fp?pid=TABFETM4VV6RFH6S&lid=LSTTABFETM4VV6RFH6SGZO8WD&marketplace=FLIPKART'],['flipkart.com']
['QCQ37T8D'],['https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-only-gold/product-reviews/itmfetm4kjzaj6fp?pid=TABFETM4VV6RFH6S&lid=LSTTABFETM4VV6RFH6SGZO8WD&marketplace=FLIPKART'],['flipkart.com']
['ECAS111P'],['https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-only-gold/product-reviews/itmfetm4kjzaj6fp?pid=TABFETM4VV6RFH6S&lid=LSTTABFETM4VV6RFH6SGZO8WD&marketplace=FLIPKART'],['flipkart.com']
['ALA33EHE'],['https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-only-gold/product-reviews/itmfetm4kjzaj6fp?pid=TABFETM4VV6RFH6S&lid=LSTTABFETM4VV6RFH6SGZO8WD&marketplace=FLIPKART'],['flipkart.com']
['IOCS4Z75'],['https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-only-gold/p/itmfetm4kjzaj6fp?pid=TABFETM4VV6RFH6S&fm=organic&ppt=dynamic&ppn=dynamic&ssid=ib1s5jmlcpyp6xhc1608659628429'],['flipkart.com']
['F2JXRW93'],['https://www.flipkart.com/apple-ipad-mini-2019-64-gb-rom-7-9-inch-wi-fi-only-gold/p/itmfetm4kjzaj6fp?pid=TABFETM4VV6RFH6S&fm=organic&ppt=dynamic&ppn=dynamic&ssid=ib1s5jmlcpyp6xhc1608659628429'],['flipkart.com']
