,Review_title,Review_body,Review_rating,Review_date
0,Mind-blowing purchase,utstanding product h.Stylish thin laptop,5,2021-02-05
1,Excellent product for the price. Good buy,"eceived the product yesterday Feb 02, 2021, on-time delivery by Flipkart, received in excellent condition. Got good deal thru Flipkart republic day sale. This laptop is ideal for working from home office or while traveling. Overall build quality is good, looks delicate but while working you can see that the build is strong, lightweight, large soft keys, and can adjust the intensity of the keyboard backlight. Genuine Windows 10 OS, MS Office Home/Student edition, and 30 days trial period for ...",4,2021-02-03
2,Really Nice,Loved this one. Boots very fast. Beautiful design. Iam satisfied.⭐️⭐️⭐️⭐️⭐️,4,2021-01-31
3,Worth every penny,Lenovo is best on this Model..I will give five rating for this Device.,5,2021-01-31
4,Worth every penny,xcellent Multitasking Laptop.Thin And Light.Excellent Performance.Value For Money.Reply Below If More Pictures Required.,5,2021-01-31
5,Fabulous!,Very Good Configuration.,5,2021-01-26
6,Unsatisfactory,"Price is high, when compare to other brands.Laptop price is decreasing fastly.",1,2021-01-24
7,Wonderful,Good one,4,2021-01-21
8,Just wow!,ne of the most terrific purchase. Awesome product,5,2021-01-09
9,Excellent,I am like this laptop,5,2021-01-09
10,Delightful,eview after a month- Laptop is great.. Display is nice and so is the battery backupMcAfee antivirus is only a trail version for 1 month,4,2021-01-09
11,Just okay,Where is my Microsoft Word 365,3,2021-01-09
12,Really Nice,"Laptop is good. But all of sudden started flickering. After contacting Lenovo Customer support, they conveyed of driver issues. For now the issue is resolved.Overall performance is good. Battery Backup is also sufficient to work 3-4 hours continuously.Laptop gets heated after long usage but can be managed using Cooling pads or stands  while working.Its a good catch!",4,2020-12-10
13,Wonderful,Battery backup 5 to 6 hr Laptop best  hai bass Thora battery average hai..,4,2020-12-10
14,Terrific purchase,It's worth purchase,5,2020-12-10
15,Super!,Loooks are superb,5,2020-12-10
16,Must buy!,Smooth performance. Recommended to buy,5,2020-12-10
17,Nice product,It's good deal overall..,4,2020-12-10
18,Super!,Very good laptop,5,2020-12-10
19,Terrific,Superb laptop. Only problem I found that the red colour looks like orange and the colour can be adjusted. Battery backup I am getting around 4 to 5 hours.,5,2020-12-10
20,Good quality product,"verall good laptop for Working Professionals , students who spent more time on browsing , coding etc.., battery is also fine getting nearly 5-6 hrs. good Display with excellent viewing angles.i5-10th gen -1035g1 -  we got better performance , no lagging even on multi- tasking . Cons : Charger heats up too much Weight of the laptop is also up to  2.4KG",4,2020-12-10
21,Brilliant,"verall, it was really a nice purchase.",5,2020-12-10
22,Does the job,Product is good but delivery is done 23 days after placing order,3,2020-12-10
23,Good choice,I wish they had life time ms office validity You get free trail of anti virusOtherwise laptop is good,4,2020-11-10
